,meshL_x,meshL_y,meshR_x,meshR_y,ref_x,ref_y,ref_z,disp01_x,disp01_y,disp01_z,disp01
961,1003.0,624.0,1011.90735,595.63116,-1.9737359,-3.567905,36.918552,-0.31709778,-0.2663741,1.1741714,1.2450641
962,1024.0,624.0,1031.0938,594.3516,-1.8117255,-3.5724125,36.96041,-0.31733763,-0.26644588,1.1746216,1.245565
963,1044.0,624.0,1050.7562,593.50055,-1.6579294,-3.576794,37.01801,-0.31759322,-0.2664678,1.1743584,1.2453867
964,1064.0,624.0,1067.6337,592.27795,-1.5019999,-3.579151,37.03639,-0.31766856,-0.26647162,1.1751595,1.2461622
965,1084.0,624.0,1086.6549,591.02386,-1.3469362,-3.5840952,37.082787,-0.31786096,-0.26644588,1.1745872,1.2456661
966,1105.0,624.0,1105.9094,589.78815,-1.1833515,-3.5879564,37.12042,-0.31801355,-0.2664647,1.1758461,1.2468961
967,1125.0,624.0,1124.6804,588.79065,-1.0273976,-3.5913112,37.160877,-0.31809247,-0.2665019,1.1760178,1.2470862
968,1145.0,624.0,1145.3138,587.6509,-0.8716517,-3.5973332,37.225323,-0.31842023,-0.26662898,1.1765747,1.2477221
969,1165.0,624.0,1163.9672,586.3738,-0.71479803,-3.6013808,37.26166,-0.31849068,-0.26658583,1.1765099,1.2476697
970,1186.0,624.0,1183.881,585.05896,-0.54982084,-3.605775,37.302906,-0.31849134,-0.26653862,1.1764259,1.2475806
971,1206.0,624.0,1202.9602,583.9075,-0.39237478,-3.6095607,37.342422,-0.31856015,-0.26652527,1.1765594,1.2477213
972,1226.0,624.0,1222.121,582.7219,-0.23458967,-3.6134412,37.381763,-0.31863686,-0.26650357,1.1765785,1.2477542
973,1247.0,624.0,1242.365,581.4935,-0.068560384,-3.6174529,37.423378,-0.3187608,-0.2665143,1.1766472,1.2478529
974,1267.0,624.0,1261.766,580.315,0.08990753,-3.62131,37.463318,-0.3188236,-0.266495,1.1767044,1.2479188
975,1287.0,624.0,1281.2817,579.12354,0.24871582,-3.6252148,37.50349,-0.31880477,-0.26643038,1.1765938,1.2477958
976,1307.0,624.0,1300.9275,577.9326,0.40786785,-3.6291316,37.544094,-0.3188287,-0.2664075,1.1764946,1.2477036
977,1328.0,624.0,1321.6635,576.66614,0.5753489,-3.6332827,37.586754,-0.31894773,-0.26641726,1.1765862,1.2478224
978,1348.0,624.0,1341.4965,575.4548,0.7352025,-3.6372104,37.627148,-0.3190079,-0.2663901,1.1765747,1.2478212
979,1368.0,624.0,1361.3608,574.8306,0.8953029,-3.6387563,37.66663,-0.31930977,-0.26660085,1.1777878,1.2490872
980,659.0,644.0,704.7654,632.7359,-4.5637946,-3.3406274,36.148735,-0.31264257,-0.26545477,1.1638489,1.2339998
981,861.0,644.0,879.29584,622.82117,-3.0532188,-3.3782332,36.561695,-0.31566024,-0.26621222,1.1707764,1.2414619
982,983.0,644.0,989.0838,616.21594,-2.124003,-3.402814,36.81551,-0.31702876,-0.2665913,1.174263,1.2451794
983,1105.0,644.0,1102.6105,609.4724,-1.1819068,-3.4277256,37.076096,-0.3180362,-0.26641893,1.1744843,1.245608
984,1125.0,644.0,1121.6714,608.53815,-1.0262526,-3.431205,37.120567,-0.31826663,-0.26624727,1.1768684,1.2478784
985,1186.0,644.0,1185.3239,605.01904,-0.5501057,-3.4499786,37.32288,-0.31867987,-0.26676583,1.1772728,1.2484759
986,1206.0,644.0,1205.5332,603.87756,-0.39273357,-3.4550562,37.37763,-0.3186348,-0.2666595,1.1768532,1.248046
987,1226.0,644.0,1224.6953,602.75726,-0.23480083,-3.4587188,37.416943,-0.3187065,-0.26662374,1.1768532,1.2480567
988,1247.0,644.0,1244.94,601.57184,-0.0686136,-3.4626007,37.458515,-0.31880158,-0.2666328,1.1768799,1.248108
989,1267.0,644.0,1264.3468,600.4549,0.09000212,-3.4662595,37.498486,-0.31886864,-0.26663637,1.1768913,1.2481368
990,1287.0,644.0,1283.8688,599.32135,0.24895896,-3.469981,37.538696,-0.31890053,-0.26658225,1.1768303,1.2480758
991,1307.0,644.0,1303.5164,598.1655,0.408262,-3.473798,37.579277,-0.31892967,-0.26655054,1.176754,1.2480046
992,1328.0,644.0,1324.2668,596.9609,0.57590103,-3.477762,37.62208,-0.31899762,-0.2665534,1.1767578,1.2480261
993,1348.0,644.0,1344.1141,595.81665,0.7359053,-3.481482,37.662617,-0.31902745,-0.26654482,1.1767044,1.2479815
994,1368.0,644.0,1363.7151,595.1687,0.89608467,-3.482863,37.698547,-0.31934303,-0.26639104,1.1773834,1.2486696
995,456.0,665.0,506.9522,656.6269,-5.9737577,-3.1292205,35.308784,-0.3012085,-0.26131225,1.1208687,1.1896878
996,476.0,665.0,529.91766,657.5845,-5.846968,-3.1330025,35.444614,-0.30519295,-0.26097083,1.1370659,1.2058886
997,1186.0,665.0,1188.7571,625.4194,-0.55073035,-3.2905147,37.369835,-0.3193338,-0.2665565,1.1737862,1.2453114
998,1206.0,665.0,1208.2633,624.8546,-0.39311618,-3.2925289,37.415043,-0.31874412,-0.26678896,1.1771584,1.2483894
999,1226.0,665.0,1227.4208,623.7994,-0.23502551,-3.2959697,37.454243,-0.31878465,-0.2667687,1.177124,1.248363
1000,1247.0,665.0,1247.6488,622.67773,-0.068672605,-3.2996247,37.49554,-0.31889063,-0.26678967,1.1772118,1.2484773
1001,1267.0,665.0,1267.0684,621.5963,0.09010247,-3.3031962,37.53563,-0.3189425,-0.26674962,1.1772041,1.2484747
